Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200301,5,,z
20200302,12,,z
20200303,13,,z
20200304,11,,z
20200305,19,,z
20200306,21,,z
20200307,9,12.85714286,
20200308,11,13.71428571,
20200309,19,14.71428571,
20200310,30,17.14285714,
20200311,27,19.42857143,
20200312,24,20.14285714,
20200313,24,20.57142857,
20200314,22,22.42857143,
20200315,17,23.28571429,
20200316,30,24.85714286,
20200317,41,26.42857143,
20200318,43,28.71428571,
20200319,42,31.28571429,
20200320,72,38.14285714,
20200321,63,44,
20200322,52,49,
20200323,95,58.28571429,
20200324,97,66.28571429,
20200325,122,77.57142857,
20200326,155,93.71428571,
20200327,146,104.2857143,
20200328,156,117.5714286,
20200329,137,129.7142857,
20200330,191,143.4285714,
20200331,184,155.8571429,
20200401,214,169,
20200402,168,170.8571429,
20200403,212,180.2857143,
20200404,153,179.8571429,
20200405,160,183.1428571,
20200406,203,184.8571429,
20200407,171,183,
20200408,157,174.8571429,
20200409,130,169.4285714,
20200410,116,155.7142857,
20200411,79,145.1428571,
20200412,85,134.4285714,
20200413,102,120,
20200414,101,110,
20200415,98,101.5714286,
20200416,97,96.85714286,
20200417,109,95.85714286,
20200418,74,95.14285714,
20200419,57,91.14285714,
20200420,68,86.28571429,
20200421,70,81.85714286,
20200422,65,77.14285714,
20200423,66,72.71428571,
20200424,91,70.14285714,
20200425,43,65.71428571,
20200426,39,63.14285714,
20200427,76,64.28571429,
20200428,72,64.57142857,
20200429,47,62,
20200430,56,60.57142857,
20200501,55,55.42857143,
20200502,46,55.85714286,
20200503,39,55.85714286,
20200504,53,52.57142857,
20200505,40,48,
20200506,46,47.85714286,
20200507,36,45,
20200508,32,41.71428571,
20200509,20,38,
20200510,26,36.14285714,
20200511,33,33.28571429,
20200512,37,32.85714286,
20200513,26,30,
20200514,27,28.71428571,
20200515,31,28.57142857,
20200516,18,28.28571429,
20200517,9,25.85714286,
20200518,27,25,
20200519,12,21.42857143,
20200520,18,20.28571429,
20200521,13,18.28571429,
20200522,15,16,
20200523,14,15.42857143,
20200524,8,15.28571429,
20200525,13,13.28571429,
20200526,14,13.57142857,
20200527,11,12.57142857,
20200528,6,11.57142857,
20200529,10,10.85714286,
20200530,3,9.285714286,
20200531,10,9.571428571,
20200601,7,8.714285714,
20200602,4,7.285714286,
20200603,7,6.714285714,
20200604,6,6.714285714,
20200605,10,6.714285714,
20200606,5,7,
20200607,6,6.428571429,
20200608,3,5.857142857,
20200609,4,5.857142857,
20200610,7,5.857142857,
20200611,6,5.857142857,
20200612,1,4.571428571,
20200613,4,4.428571429,
20200614,6,4.428571429,
20200615,6,4.857142857,
20200616,4,4.857142857,
20200617,6,4.714285714,
20200618,3,4.285714286,
20200619,4,4.714285714,
20200620,2,4.428571429,
20200621,1,3.714285714,
20200622,5,3.571428571,
20200623,4,3.571428571,
20200624,3,3.142857143,
20200625,2,3,
20200626,0,2.428571429,
20200627,3,2.571428571,
20200628,2,2.714285714,
20200629,1,2.142857143,
20200630,0,1.571428571,
20200701,2,1.428571429,
20200702,0,1.142857143,
20200703,1,1.285714286,
20200704,1,1,
20200705,1,0.857142857,
20200706,3,1.142857143,
20200707,1,1.285714286,
20200708,0,1,
20200709,0,1,
20200710,2,1.142857143,
20200711,2,1.285714286,
20200712,1,1.285714286,
20200713,0,0.857142857,
20200714,0,0.714285714,
20200715,0,0.714285714,
20200716,2,1,
20200717,0,0.714285714,
20200718,1,0.571428571,
20200719,2,0.714285714,
20200720,0,0.714285714,
20200721,0,0.714285714,
20200722,1,0.857142857,
20200723,1,0.714285714,
20200724,0,0.714285714,
20200725,3,1,
20200726,0,0.714285714,
20200727,1,0.857142857,
20200728,0,0.857142857,
20200729,2,1,
20200730,0,0.857142857,
20200731,2,1.142857143,
20200801,1,0.857142857,
20200802,0,0.857142857,
20200803,1,0.857142857,
20200804,2,1.142857143,
20200805,3,1.285714286,
20200806,0,1.285714286,
20200807,2,1.285714286,
20200808,2,1.428571429,
20200809,0,1.428571429,
20200810,3,1.714285714,
20200811,1,1.571428571,
20200812,2,1.428571429,
20200813,1,1.571428571,
20200814,3,1.714285714,
20200815,7,2.428571429,
20200816,1,2.571428571,
20200817,4,2.714285714,
20200818,2,2.857142857,
20200819,3,3,
20200820,5,3.571428571,
20200821,2,3.428571429,
20200822,4,3,
20200823,0,2.857142857,
20200824,4,2.857142857,
20200825,8,3.714285714,
20200826,6,4.142857143,
20200827,3,3.857142857,
20200828,5,4.285714286,
20200829,3,4.142857143,
20200830,2,4.428571429,
20200831,4,4.428571429,
20200901,1,3.428571429,
20200902,5,3.285714286,
20200903,2,3.142857143,
20200904,11,4,
20200905,5,4.285714286,
20200906,4,4.571428571,
20200907,7,5,
20200908,7,5.857142857,
20200909,5,5.857142857,
20200910,17,8,
20200911,14,8.428571429,
20200912,10,9.142857143,
20200913,8,9.714285714,
20200914,11,10.28571429,
20200915,11,10.85714286,
20200916,25,13.71428571,
20200917,15,13.42857143,
20200918,8,12.57142857,
20200919,15,13.28571429,
20200920,12,13.85714286,
20200921,19,15,
20200922,27,17.28571429,
20200923,16,16,
20200924,26,17.57142857,
20200925,30,20.71428571,
20200926,26,22.28571429,
20200927,27,24.42857143,
20200928,36,26.85714286,
20200929,28,27,
20200930,39,30.28571429,
20201001,53,34.14285714,
20201002,44,36.14285714,
20201003,39,38,
20201004,36,39.28571429,
20201005,62,43,
20201006,81,50.57142857,
20201007,68,54.71428571,
20201008,77,58.14285714,
20201009,63,60.85714286,
20201010,56,63.28571429,
20201011,65,67.42857143,
20201012,79,69.85714286,
20201013,104,73.14285714,
20201014,90,76.28571429,
20201015,85,77.42857143,
20201016,107,83.71428571,
20201017,70,85.71428571,
20201018,67,86,
20201019,104,89.57142857,
20201020,106,89.85714286,
20201021,102,91.57142857,
